 county     | year | dayswaqi | gdays | maqi | IG_owned_county | IG_owned_year | IG_owned_dayswaqi | IG_shared_gdays | IG_owned_maqi | Total_IG |
-------------------------------------------------------------------------------------------------------------------------------------------------
 Montgomery | 93   | 2021     | 0     | 232  | 0               | 0             | 0                 | 0               | 0             | 0        |
 Mobile     | 81   | 2021     | 0     | 243  | 0               | 0             | 0                 | 0               | 0             | 0        |
 Elmore     | 87   | 2021     | 0     | 180  | 0               | 0             | 0                 | 0               | 0             | 0        |
 DeKalb     | 84   | 2021     | 0     | 239  | 0               | 0             | 0                 | 0               | 0             | 0        |
 Madison    | 101  | 2021     | 0     | 173  | 0               | 0             | 0                 | 0               | 0             | 0        |
 Etowah     | 77   | 2021     | 0     | 204  | 0               | 0             | 0                 | 0               | 0             | 0        |
 Jefferson  | 213  | 2021     | 0     | 182  | 0               | 0             | 0                 | 0               | 0             | 0        |
 Morgan     | 96   | 2021     | 0     | 243  | 0               | 0             | 0                 | 0               | 0             | 0        |
 Russell    | 142  | 2021     | 0     | 243  | 0               | 0             | 0                 | 0               | 0             | 0        |
 DeKalb     | 2021 | 0        | 211   | 84   | 4               | 5             | 15                | 5               | 0             | 29       |
 Sumter     | 2021 | 0        | 226   | 68   | 2               | 4             | 15                | 4               | 0             | 25       |
 Baldwin    | 2021 | 0        | 190   | 61   | 4               | 6             | 15                | 6               | 0             | 31       |
 Jefferson  | 2021 | 0        | 90    | 159  | 5               | 4             | 15                | 4               | 0             | 28       |
 Etowah     | 2021 | 0        | 178   | 201  | 4               | 4             | 15                | 4               | 0             | 27       |
 Madison    | 2021 | 0        | 139   | 120  | 6               | 4             | 15                | 4               | 0             | 29       |
 Shelby     | 2021 | 0        | 226   | 107  | 6               | 4             | 15                | 4               | 0             | 29       |
 Elmore     | 2021 | 0        | 177   | 96   | 4               | 4             | 15                | 4               | 0             | 27       |
 Russell    | 2021 | 0        | 189   | 142  | 6               | 6             | 15                | 6               | 0             | 33       |
 Morgan     | 2021 | 0        | 191   | 96   | 4               | 7             | 15                | 7               | 0             | 33       |
 Clay       | 2021 | 0        | 66    | 67   | 4               | 2             | 15                | 2               | 0             | 23       |
