 i_county | i_dayswaqi | i_maqi | i_year | i_gdays | pattern_IG | coverage | informativeness | mean_r2            | f_score            |
----------------------------------------------------------------------------------------------------------------------------------------
 NULL     | 0          | NULL   | 2021   | NULL    | 314        | 11       | 2               | 1.7951690821256037 | 150.8663044404545  |
 NULL     | NULL       | NULL   | 2021   | NULL    | 314        | 11       | 1               | 1.7951690821256037 | 75.66327505099213  |
 NULL     | 0          | NULL   | NULL   | NULL    | 314        | 11       | 1               | 1.7951690821256037 | 75.66327505099213  |
 NULL     | 0          | 96     | 2021   | NULL    | 60         | 2        | 3               | 2                  | 42.985074626865675 |
 NULL     | 0          | NULL   | 2021   | 226     | 54         | 2        | 3               | 2                  | 42.49180327868852  |
 NULL     | 0          | 96     | NULL   | NULL    | 60         | 2        | 2               | 2                  | 29.09090909090909  |
 NULL     | NULL       | 96     | 2021   | NULL    | 60         | 2        | 2               | 2                  | 29.09090909090909  |
 NULL     | 0          | NULL   | NULL   | 226     | 54         | 2        | 2               | 2                  | 28.8               |
 NULL     | NULL       | NULL   | 2021   | 226     | 54         | 2        | 2               | 2                  | 28.8               |
 Morgan   | 0          | 96     | 2021   | 191     | 33         | 1        | 5               | 1                  | 16.5               |
